,wave,gender,age,age_o,d_age,samerace,importance_same_race,importance_same_religion,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,like,guess_prob_liked,met,decision,decision_o,match
19,1.0,0,24.0,24.0,0.0,1,2.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,7.0,7.0,9.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,6.0,7.0,8.0,7.0,9.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,0.39,4.0,8.0,7.0,0.0,1,0,0
20,1.0,0,25.0,27.0,2.0,1,8.0,4.0,35.0,20.0,20.0,20.0,0.0,5.0,7.0,8.0,6.0,5.0,8.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,7.0,9.0,10.0,7.0,8.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,-0.24,4.0,8.0,7.0,1.0,0,0,0
21,1.0,0,25.0,22.0,3.0,1,8.0,4.0,60.0,0.0,0.0,40.0,0.0,0.0,6.0,7.0,10.0,6.0,6.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,9.0,7.0,9.0,8.0,9.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,-0.14,4.0,8.0,7.0,0.0,0,0,0
22,1.0,0,25.0,22.0,3.0,0,8.0,4.0,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,7.0,9.0,9.0,7.0,9.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,0.09,4.0,8.0,7.0,0.0,0,1,0
23,1.0,0,25.0,23.0,2.0,1,8.0,4.0,30.0,5.0,15.0,40.0,5.0,5.0,7.0,9.0,8.0,8.0,8.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,9.0,7.0,9.0,7.0,9.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,-0.04,4.0,8.0,7.0,0.0,0,1,0
26,1.0,0,25.0,30.0,5.0,1,8.0,4.0,35.0,15.0,25.0,10.0,5.0,10.0,6.0,3.0,5.0,4.0,5.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,8.0,9.0,10.0,7.0,7.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,-0.26,4.0,8.0,7.0,0.0,0,0,0
27,1.0,0,25.0,27.0,2.0,1,8.0,4.0,33.33,11.11,11.11,11.11,11.11,22.22,4.0,5.0,6.0,4.0,6.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,7.0,9.0,9.0,8.0,9.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,0.29,4.0,8.0,7.0,0.0,0,0,0
28,1.0,0,25.0,28.0,3.0,1,8.0,4.0,50.0,0.0,25.0,10.0,0.0,15.0,7.0,7.0,6.0,8.0,7.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,-0.15,4.0,9.0,7.0,0.0,0,1,0
29,1.0,0,25.0,24.0,1.0,1,8.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,8.0,5.0,8.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,8.0,9.0,8.0,8.0,7.0,9.0,7.0,9.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,-0.47,4.0,8.0,7.0,0.0,0,0,0
30,1.0,0,23.0,27.0,4.0,1,1.0,1.0,35.0,20.0,20.0,20.0,0.0,5.0,6.0,7.0,8.0,7.0,7.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,4.0,10.0,8.0,5.0,8.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,-0.18,1.0,6.0,7.0,0.0,0,0,0
31,1.0,0,23.0,22.0,1.0,1,1.0,1.0,60.0,0.0,0.0,40.0,0.0,0.0,6.0,5.0,10.0,6.0,6.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,8.0,7.0,8.0,10.0,7.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,-0.18,1.0,8.0,1.0,1.0,0,0,0
32,1.0,0,23.0,22.0,1.0,0,1.0,1.0,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,4.0,7.0,8.0,8.0,6.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,0.05,1.0,4.0,1.0,0.0,0,1,0
33,1.0,0,23.0,23.0,0.0,1,1.0,1.0,30.0,5.0,15.0,40.0,5.0,5.0,7.0,7.0,7.0,9.0,9.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,8.0,10.0,7.0,10.0,7.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,-0.18,1.0,8.0,10.0,1.0,1,1,1
34,1.0,0,23.0,24.0,1.0,0,1.0,1.0,30.0,10.0,20.0,10.0,10.0,20.0,8.0,8.0,9.0,8.0,8.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,6.0,9.0,8.0,9.0,8.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,0.21,1.0,7.0,7.0,0.0,0,1,0
35,1.0,0,23.0,25.0,2.0,1,1.0,1.0,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6.0,7.0,7.0,8.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,5.0,10.0,8.0,4.0,8.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,0.37,1.0,4.0,3.0,0.0,0,1,0
36,1.0,0,23.0,30.0,7.0,1,1.0,1.0,35.0,15.0,25.0,10.0,5.0,10.0,7.0,6.0,3.0,5.0,6.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,7.0,10.0,10.0,7.0,10.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,0.35,1.0,5.0,1.0,0.0,0,1,0
37,1.0,0,23.0,27.0,4.0,1,1.0,1.0,33.33,11.11,11.11,11.11,11.11,22.22,6.0,7.0,8.0,6.0,6.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,5.0,9.0,9.0,5.0,9.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,0.15,1.0,6.0,6.0,0.0,0,0,0
38,1.0,0,23.0,28.0,5.0,1,1.0,1.0,50.0,0.0,25.0,10.0,0.0,15.0,7.0,7.0,7.0,10.0,9.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,9.0,8.0,10.0,10.0,7.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,-0.47,1.0,8.0,8.0,0.0,1,1,1
39,1.0,0,23.0,24.0,1.0,1,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,8.0,7.0,8.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,8.0,9.0,10.0,10.0,8.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,-0.19,1.0,10.0,8.0,0.0,1,0,0
40,1.0,0,21.0,27.0,6.0,1,8.0,1.0,35.0,20.0,20.0,20.0,0.0,5.0,6.0,8.0,8.0,8.0,7.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,3.0,6.0,10.0,8.0,5.0,8.0,8.0,2.0,2.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,-0.43,7.0,7.0,5.0,0.0,0,0,0
41,1.0,0,21.0,22.0,1.0,1,8.0,1.0,60.0,0.0,0.0,40.0,0.0,0.0,6.0,7.0,10.0,7.0,6.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,3.0,6.0,10.0,8.0,8.0,6.0,6.0,5.0,5.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,0.0,7.0,6.0,4.0,1.0,0,0,0
42,1.0,0,21.0,22.0,1.0,0,8.0,1.0,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,3.0,6.0,10.0,8.0,4.0,6.0,8.0,8.0,6.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,-0.17,7.0,6.0,5.0,1.0,0,1,0
43,1.0,0,21.0,23.0,2.0,1,8.0,1.0,30.0,5.0,15.0,40.0,5.0,5.0,6.0,8.0,6.0,8.0,10.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,3.0,6.0,10.0,8.0,8.0,5.0,5.0,7.0,7.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,0.08,7.0,8.0,2.0,1.0,1,1,1
44,1.0,0,21.0,24.0,3.0,0,8.0,1.0,30.0,10.0,20.0,10.0,10.0,20.0,5.0,9.0,9.0,7.0,9.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,3.0,6.0,10.0,8.0,6.0,7.0,7.0,5.0,4.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,-0.16,7.0,7.0,4.0,0.0,0,0,0
45,1.0,0,21.0,25.0,4.0,1,8.0,1.0,50.0,0.0,30.0,10.0,0.0,10.0,5.0,8.0,7.0,7.0,7.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,3.0,6.0,10.0,8.0,5.0,6.0,7.0,5.0,7.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,0.06,7.0,7.0,3.0,0.0,1,0,0
46,1.0,0,21.0,30.0,9.0,1,8.0,1.0,35.0,15.0,25.0,10.0,5.0,10.0,2.0,3.0,4.0,4.0,5.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,3.0,6.0,10.0,8.0,6.0,6.0,8.0,5.0,5.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,-0.05,7.0,6.0,3.0,0.0,1,0,0
47,1.0,0,21.0,27.0,6.0,1,8.0,1.0,33.33,11.11,11.11,11.11,11.11,22.22,5.0,5.0,6.0,5.0,5.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,3.0,6.0,10.0,8.0,5.0,5.0,7.0,6.0,7.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,0.07,7.0,6.0,4.0,0.0,1,0,0
48,1.0,0,21.0,28.0,7.0,1,8.0,1.0,50.0,0.0,25.0,10.0,0.0,15.0,5.0,9.0,9.0,9.0,9.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,3.0,6.0,10.0,8.0,7.0,5.0,7.0,8.0,7.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,-0.13,7.0,9.0,4.0,0.0,1,1,1
49,1.0,0,21.0,24.0,3.0,1,8.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.0,10.0,20.0,5.0,25.0,25.0,10.0,15.0,6.0,3.0,6.0,10.0,8.0,9.0,6.0,7.0,9.0,6.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,-0.06,7.0,10.0,3.0,0.0,1,0,0
50,1.0,0,23.0,27.0,4.0,0,1.0,1.0,35.0,20.0,20.0,20.0,0.0,5.0,7.0,9.0,8.0,9.0,8.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,6.0,9.0,7.0,6.0,7.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,0.33,4.0,6.0,6.0,0.0,1,0,0
51,1.0,0,23.0,22.0,1.0,0,1.0,1.0,60.0,0.0,0.0,40.0,0.0,0.0,6.0,8.0,10.0,6.0,7.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,6.0,9.0,9.0,6.0,8.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,0.37,4.0,7.0,6.0,0.0,1,0,0
52,1.0,0,23.0,22.0,1.0,1,1.0,1.0,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,4.0,7.0,9.0,4.0,3.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,-0.51,4.0,6.0,2.0,1.0,0,1,0
53,1.0,0,23.0,23.0,0.0,0,1.0,1.0,30.0,5.0,15.0,40.0,5.0,5.0,6.0,8.0,8.0,7.0,9.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,8.0,6.0,7.0,8.0,2.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,0.12,4.0,9.0,4.0,0.0,1,1,1
54,1.0,0,23.0,24.0,1.0,0,1.0,1.0,30.0,10.0,20.0,10.0,10.0,20.0,9.0,7.0,9.0,7.0,9.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,5.0,4.0,8.0,8.0,4.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,0.35,4.0,4.0,3.0,1.0,0,1,0
55,1.0,0,23.0,25.0,2.0,0,1.0,1.0,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6.0,8.0,8.0,8.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,3.0,7.0,6.0,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,0.19,4.0,2.0,2.0,0.0,0,1,0
56,1.0,0,23.0,30.0,7.0,0,1.0,1.0,35.0,15.0,25.0,10.0,5.0,10.0,5.0,6.0,8.0,4.0,5.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,8.0,8.0,8.0,8.0,3.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,0.47,4.0,8.0,7.0,0.0,1,0,0
57,1.0,0,23.0,27.0,4.0,0,1.0,1.0,33.33,11.11,11.11,11.11,11.11,22.22,6.0,7.0,8.0,7.0,8.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,4.0,8.0,9.0,2.0,8.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,0.03,4.0,5.0,5.0,0.0,0,0,0
58,1.0,0,23.0,28.0,5.0,0,1.0,1.0,50.0,0.0,25.0,10.0,0.0,15.0,6.0,7.0,7.0,6.0,6.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,7.0,6.0,8.0,8.0,6.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,0.46,4.0,9.0,6.0,0.0,1,1,1
59,1.0,0,23.0,24.0,1.0,0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,10.0,6.0,10.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,8.0,9.0,9.0,9.0,10.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,0.43,4.0,9.0,8.0,0.0,1,0,0
60,1.0,0,22.0,27.0,5.0,0,2.0,4.0,35.0,20.0,20.0,20.0,0.0,5.0,7.0,8.0,8.0,8.0,7.0,15.0,15.0,25.0,20.0,15.0,10.0,6.0,6.0,5.0,7.0,7.0,4.0,8.0,8.0,5.0,7.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,0.19,7.0,7.0,4.0,0.0,0,0,0
